method,data,type,colums,func,start,end,width,height,errorbound,error,ssim,iterations,totaltime,sqltime
ours,stockdata,static,9;5;1;2;3;4;6;7;8;10,max,0,-1,400,600,0,0,0,12,0.373,0.177
ours,stockdata,static,9;5;1;2;3;4;6;7;8;10,max,0,-1,600,600,0,0,0,15,0.583,0.234
ours,stockdata,static,9;5;1;2;3;4;6;7;8;10,max,0,-1,800,600,0,0,0,14,0.708,0.274
ours,stockdata,static,9;5;1;2;3;4;6;7;8;10,max,0,-1,1000,600,0,0,0,10,0.722,0.271
ours,stockdata,static,9;5;1;2;3;4;6;7;8;10,max,0,-1,1200,600,0,0,0,15,0.962,0.350
ours,stockdata,static,9;5;1;2;3;4;6;7;8;10,L2,0,-1,200,600,0,0,0,60,0.591,0.311
ours,stockdata,static,9;5;1;2;3;4;6;7;8;10,L2,0,-1,400,600,0,0,0,58,1.031,0.457
ours,stockdata,static,9;5;1;2;3;4;6;7;8;10,L2,0,-1,600,600,0,0,0,56,1.348,0.572
ours,stockdata,static,9;5;1;2;3;4;6;7;8;10,L2,0,-1,800,600,0,0,0,54,1.676,0.658
ours,stockdata,static,9;5;1;2;3;4;6;7;8;10,L2,0,-1,1000,600,0,0,0,44,1.971,0.744
ours,stockdata,static,9;5;1;2;3;4;6;7;8;10,L2,0,-1,1200,600,0,0,0,52,2.207,0.825
ours,stockdata,static,9;5;1;2;3;4;6;7;8;10,weightsum,0,-1,200,600,0,0,0,43,0.492,0.259
ours,stockdata,static,9;5;1;2;3;4;6;7;8;10,weightsum,0,-1,400,600,0,0,0,29,0.759,0.335
ours,stockdata,static,9;5;1;2;3;4;6;7;8;10,weightsum,0,-1,600,600,0,0,0,32,0.947,0.414
ours,stockdata,static,9;5;1;2;3;4;6;7;8;10,weightsum,0,-1,800,600,0,0,0,33,1.168,0.471
ours,stockdata,static,9;5;1;2;3;4;6;7;8;10,weightsum,0,-1,1000,600,0,0,0,37,1.434,0.554
ours,stockdata,static,9;5;1;2;3;4;6;7;8;10,weightsum,0,-1,1200,600,0,0,0,26,1.694,0.608
ours,stockdata,static,9;5;1;2;3;4;6;7;8;10,func4,0,-1,200,600,0,0,0,113,0.736,0.428
ours,stockdata,static,9;5;1;2;3;4;6;7;8;10,func4,0,-1,400,600,0,0,0,101,1.176,0.599
ours,stockdata,static,9;5;1;2;3;4;6;7;8;10,func4,0,-1,600,600,0,0,0,92,1.451,0.707
ours,stockdata,static,9;5;1;2;3;4;6;7;8;10,func4,0,-1,800,600,0,0,0,82,1.639,0.778
ours,stockdata,static,9;5;1;2;3;4;6;7;8;10,func4,0,-1,1000,600,0,0,0,71,1.716,0.799
ours,stockdata,static,9;5;1;2;3;4;6;7;8;10,func4,0,-1,1200,600,0,0,0,62,1.891,0.825
ours,traffic,static,1;2;3;4;5;6;7;8;9;10,func1,0,-1,200,600,0,0,0,18,0.150,0.109
ours,traffic,static,1;2;3;4;5;6;7;8;9;10,func1,0,-1,400,600,0,0,0,29,0.369,0.194
ours,traffic,static,1;2;3;4;5;6;7;8;9;10,func1,0,-1,600,600,0,0,0,19,0.350,0.180
ours,traffic,static,1;2;3;4;5;6;7;8;9;10,func1,0,-1,800,600,0,0,0,19,0.429,0.208
ours,traffic,static,1;2;3;4;5;6;7;8;9;10,func1,0,-1,1000,600,0,0,0,22,0.530,0.259
ours,traffic,static,1;2;3;4;5;6;7;8;9;10,func1,0,-1,1200,600,0,0,0,22,0.535,0.255
ours,traffic,static,1;2;3;4;5;6;7;8;9;10,boxcox0,0,-1,200,600,0,0,0,0,0.030,0.019
ours,traffic,static,1;2;3;4;5;6;7;8;9;10,boxcox0,0,-1,400,600,0,0,0,0,0.055,0.033
ours,traffic,static,1;2;3;4;5;6;7;8;9;10,boxcox0,0,-1,600,600,0,0,0,0,0.077,0.045
ours,traffic,static,1;2;3;4;5;6;7;8;9;10,boxcox0,0,-1,800,600,0,0,0,0,0.110,0.054
ours,traffic,static,1;2;3;4;5;6;7;8;9;10,boxcox0,0,-1,1000,600,0,0,0,0,0.138,0.074
ours,traffic,static,1;2;3;4;5;6;7;8;9;10,boxcox0,0,-1,1200,600,0,0,0,0,0.143,0.073
ours,traffic,static,1;2;3;4;5;6;7;8;9;10,plus,0,-1,200,600,0,0,0,73,0.534,0.338
ours,traffic,static,1;2;3;4;5;6;7;8;9;10,plus,0,-1,400,600,0,0,0,68,0.660,0.346
ours,traffic,static,1;2;3;4;5;6;7;8;9;10,plus,0,-1,600,600,0,0,0,68,0.833,0.419
ours,traffic,static,1;2;3;4;5;6;7;8;9;10,plus,0,-1,800,600,0,0,0,69,0.961,0.461
ours,traffic,static,1;2;3;4;5;6;7;8;9;10,plus,0,-1,1000,600,0,0,0,65,0.973,0.453
ours,traffic,static,1;2;3;4;5;6;7;8;9;10,plus,0,-1,1200,600,0,0,0,66,1.122,0.508
ours,traffic,static,1;2;3;4;5;6;7;8;9;10,minus,0,-1,200,600,0,0,0,89,0.639,0.387
ours,traffic,static,1;2;3;4;5;6;7;8;9;10,minus,0,-1,400,600,0,0,0,82,0.793,0.427
ours,traffic,static,1;2;3;4;5;6;7;8;9;10,minus,0,-1,600,600,0,0,0,81,0.964,0.505
ours,traffic,static,1;2;3;4;5;6;7;8;9;10,minus,0,-1,800,600,0,0,0,77,1.123,0.532
ours,traffic,static,1;2;3;4;5;6;7;8;9;10,minus,0,-1,1000,600,0,0,0,71,1.232,0.566
ours,traffic,static,1;2;3;4;5;6;7;8;9;10,minus,0,-1,1200,600,0,0,0,69,1.311,0.574
ours,traffic,static,1;2;3;4;5;6;7;8;9;10,multi,0,-1,200,600,0,0,0,91,0.585,0.369
ours,traffic,static,1;2;3;4;5;6;7;8;9;10,multi,0,-1,400,600,0,0,0,83,0.711,0.387
ours,traffic,static,1;2;3;4;5;6;7;8;9;10,multi,0,-1,600,600,0,0,0,78,0.884,0.441
ours,traffic,static,1;2;3;4;5;6;7;8;9;10,multi,0,-1,800,600,0,0,0,75,0.960,0.467
ours,traffic,static,1;2;3;4;5;6;7;8;9;10,multi,0,-1,1000,600,0,0,0,70,1.074,0.490
ours,traffic,static,1;2;3;4;5;6;7;8;9;10,multi,0,-1,1200,600,0,0,0,70,1.188,0.537
ours,traffic,static,1;2;3;4;5;6;7;8;9;10,devide,0,-1,200,600,0,0,0,76,0.570,0.338
ours,traffic,static,1;2;3;4;5;6;7;8;9;10,devide,0,-1,400,600,0,0,0,73,0.775,0.403
ours,traffic,static,1;2;3;4;5;6;7;8;9;10,devide,0,-1,600,600,0,0,0,74,0.953,0.452
ours,traffic,static,1;2;3;4;5;6;7;8;9;10,devide,0,-1,800,600,0,0,0,75,1.062,0.508
ours,traffic,static,1;2;3;4;5;6;7;8;9;10,devide,0,-1,1000,600,0,0,0,80,1.256,0.574
ours,traffic,static,1;2;3;4;5;6;7;8;9;10,devide,0,-1,1200,600,0,0,0,71,1.414,0.625
ours,traffic,static,1;2;3;4;5;6;7;8;9;10,mean,0,-1,200,600,0,0,0,186,4.449,2.126
ours,traffic,static,1;2;3;4;5;6;7;8;9;10,mean,0,-1,400,600,0,0,0,166,5.515,2.085
ours,traffic,static,1;2;3;4;5;6;7;8;9;10,mean,0,-1,600,600,0,0,0,152,6.693,2.240
ours,traffic,static,1;2;3;4;5;6;7;8;9;10,mean,0,-1,800,600,0,0,0,145,6.041,2.076
ours,traffic,static,1;2;3;4;5;6;7;8;9;10,mean,0,-1,1000,600,0,0,0,150,6.559,2.318
ours,traffic,static,1;2;3;4;5;6;7;8;9;10,mean,0,-1,1200,600,0,0,0,142,7.636,2.588
ours,traffic,static,1;2;3;4;5;6;7;8;9;10,variance,0,-1,200,600,0,0,0,125,2.054,0.999
ours,traffic,static,1;2;3;4;5;6;7;8;9;10,variance,0,-1,400,600,0,0,0,119,3.270,1.232
ours,traffic,static,1;2;3;4;5;6;7;8;9;10,variance,0,-1,600,600,0,0,0,111,4.020,1.272
ours,traffic,static,1;2;3;4;5;6;7;8;9;10,variance,0,-1,800,600,0,0,0,109,4.916,1.401
ours,traffic,static,1;2;3;4;5;6;7;8;9;10,variance,0,-1,1000,600,0,0,0,112,5.482,1.504
ours,traffic,static,1;2;3;4;5;6;7;8;9;10,variance,0,-1,1200,600,0,0,0,112,5.950,1.539
ours,traffic,static,1;2;3;4;5;6;7;8;9;10,max,0,-1,200,600,0,0,0,82,0.548,0.296
ours,traffic,static,1;2;3;4;5;6;7;8;9;10,max,0,-1,400,600,0,0,0,76,0.891,0.408
ours,traffic,static,1;2;3;4;5;6;7;8;9;10,max,0,-1,600,600,0,0,0,68,1.020,0.439
ours,traffic,static,1;2;3;4;5;6;7;8;9;10,max,0,-1,800,600,0,0,0,71,1.260,0.490
ours,traffic,static,1;2;3;4;5;6;7;8;9;10,max,0,-1,1000,600,0,0,0,72,1.535,0.560
ours,traffic,static,1;2;3;4;5;6;7;8;9;10,max,0,-1,1200,600,0,0,0,71,1.547,0.576
ours,traffic,static,1;2;3;4;5;6;7;8;9;10,L2,0,-1,200,600,0,0,0,123,2.441,1.319
ours,traffic,static,1;2;3;4;5;6;7;8;9;10,L2,0,-1,400,600,0,0,0,115,3.507,1.432
ours,traffic,static,1;2;3;4;5;6;7;8;9;10,L2,0,-1,600,600,0,0,0,109,4.005,1.375
ours,traffic,static,1;2;3;4;5;6;7;8;9;10,L2,0,-1,800,600,0,0,0,103,4.143,1.393
ours,traffic,static,1;2;3;4;5;6;7;8;9;10,L2,0,-1,1000,600,0,0,0,110,4.208,1.500
ours,traffic,static,1;2;3;4;5;6;7;8;9;10,L2,0,-1,1200,600,0,0,0,111,4.570,1.602
ours,traffic,static,1;2;3;4;5;6;7;8;9;10,weightsum,0,-1,200,600,0,0,0,125,1.912,0.969
ours,traffic,static,1;2;3;4;5;6;7;8;9;10,weightsum,0,-1,400,600,0,0,0,114,3.433,1.305
ours,traffic,static,1;2;3;4;5;6;7;8;9;10,weightsum,0,-1,600,600,0,0,0,106,4.471,1.399
ours,traffic,static,1;2;3;4;5;6;7;8;9;10,weightsum,0,-1,800,600,0,0,0,107,4.833,1.459
ours,traffic,static,1;2;3;4;5;6;7;8;9;10,weightsum,0,-1,1000,600,0,0,0,111,4.479,1.702
ours,traffic,static,1;2;3;4;5;6;7;8;9;10,weightsum,0,-1,1200,600,0,0,0,113,6.123,1.823
ours,traffic,static,1;2;3;4;5;6;7;8;9;10,func4,0,-1,200,600,0,0,0,231,2.005,1.052
ours,traffic,static,1;2;3;4;5;6;7;8;9;10,func4,0,-1,400,600,0,0,0,311,3.401,1.607
ours,traffic,static,1;2;3;4;5;6;7;8;9;10,func4,0,-1,600,600,0,0,0,286,3.917,1.742
ours,traffic,static,1;2;3;4;5;6;7;8;9;10,func4,0,-1,800,600,0,0,0,301,5.338,2.322
ours,traffic,static,1;2;3;4;5;6;7;8;9;10,func4,0,-1,1000,600,0,0,0,273,6.477,2.368
ours,traffic,static,1;2;3;4;5;6;7;8;9;10,func4,0,-1,1200,600,0,0,0,294,7.801,2.890
ours,sensordata,static,5;4;3;2;1;7;6,func1,0,-1,200,600,0,0,0,1,0.122,0.083
ours,sensordata,static,5;4;3;2;1;7;6,func1,0,-1,400,600,0,0,0,1,0.191,0.110
ours,sensordata,static,5;4;3;2;1;7;6,func1,0,-1,600,600,0,0,0,1,0.256,0.155
ours,sensordata,static,5;4;3;2;1;7;6,func1,0,-1,800,600,0,0,0,1,0.261,0.152
ours,sensordata,static,5;4;3;2;1;7;6,func1,0,-1,1000,600,0,0,0,1,0.306,0.171
ours,sensordata,static,5;4;3;2;1;7;6,func1,0,-1,1200,600,0,0,0,1,0.406,0.198
ours,sensordata,static,5;4;3;2;1;7;6,boxcox0,0,-1,200,600,0,0,0,0,0.092,0.041
ours,sensordata,static,5;4;3;2;1;7;6,boxcox0,0,-1,400,600,0,0,0,0,0.138,0.062
ours,sensordata,static,5;4;3;2;1;7;6,boxcox0,0,-1,600,600,0,0,0,0,0.169,0.090
ours,sensordata,static,5;4;3;2;1;7;6,boxcox0,0,-1,800,600,0,0,0,0,0.202,0.106
ours,sensordata,static,5;4;3;2;1;7;6,boxcox0,0,-1,1000,600,0,0,0,0,0.239,0.123
ours,sensordata,static,5;4;3;2;1;7;6,boxcox0,0,-1,1200,600,0,0,0,0,0.303,0.146
ours,sensordata,static,5;4;3;2;1;7;6,plus,0,-1,200,600,0,0,0,161,1.965,1.110
ours,sensordata,static,5;4;3;2;1;7;6,plus,0,-1,400,600,0,0,0,200,3.416,1.803
ours,sensordata,static,5;4;3;2;1;7;6,plus,0,-1,600,600,0,0,0,181,4.336,2.206
ours,sensordata,static,5;4;3;2;1;7;6,plus,0,-1,800,600,0,0,0,239,5.779,2.884
ours,sensordata,static,5;4;3;2;1;7;6,plus,0,-1,1000,600,0,0,0,212,6.293,3.061
ours,sensordata,static,5;4;3;2;1;7;6,plus,0,-1,1200,600,0,0,0,234,7.674,3.664
ours,sensordata,static,5;4;3;2;1;7;6,minus,0,-1,200,600,0,0,0,227,2.857,1.754
ours,sensordata,static,5;4;3;2;1;7;6,minus,0,-1,400,600,0,0,0,237,3.811,2.043
ours,sensordata,static,5;4;3;2;1;7;6,minus,0,-1,600,600,0,0,0,245,4.956,2.559
ours,sensordata,static,5;4;3;2;1;7;6,minus,0,-1,800,600,0,0,0,237,5.895,2.956
ours,sensordata,static,5;4;3;2;1;7;6,minus,0,-1,1000,600,0,0,0,228,6.560,3.239
ours,sensordata,static,5;4;3;2;1;7;6,minus,0,-1,1200,600,0,0,0,212,6.906,3.332
ours,sensordata,static,5;4;3;2;1;7;6,multi,0,-1,200,600,0,0,0,145,1.609,0.891
ours,sensordata,static,5;4;3;2;1;7;6,multi,0,-1,400,600,0,0,0,92,2.153,1.124
ours,sensordata,static,5;4;3;2;1;7;6,multi,0,-1,600,600,0,0,0,82,2.770,1.388
ours,sensordata,static,5;4;3;2;1;7;6,multi,0,-1,800,600,0,0,0,66,2.961,1.478
ours,sensordata,static,5;4;3;2;1;7;6,multi,0,-1,1000,600,0,0,0,56,3.014,1.522
ours,sensordata,static,5;4;3;2;1;7;6,multi,0,-1,1200,600,0,0,0,55,3.615,1.737
ours,sensordata,static,5;4;3;2;1;7;6,devide,0,-1,200,600,0,0,0,198,2.406,1.547
ours,sensordata,static,5;4;3;2;1;7;6,devide,0,-1,400,600,0,0,0,232,3.154,1.722
ours,sensordata,static,5;4;3;2;1;7;6,devide,0,-1,600,600,0,0,0,242,4.030,2.086
ours,sensordata,static,5;4;3;2;1;7;6,devide,0,-1,800,600,0,0,0,218,4.685,2.329
ours,sensordata,static,5;4;3;2;1;7;6,devide,0,-1,1000,600,0,0,0,212,5.414,2.585
ours,sensordata,static,5;4;3;2;1;7;6,devide,0,-1,1200,600,0,0,0,220,6.216,2.899
ours,sensordata,static,5;4;3;2;1;7;6,mean,0,-1,200,600,0,0,0,55,0.913,0.397
ours,sensordata,static,5;4;3;2;1;7;6,mean,0,-1,400,600,0,0,0,61,1.438,0.564
ours,sensordata,static,5;4;3;2;1;7;6,mean,0,-1,600,600,0,0,0,49,1.984,0.751
ours,sensordata,static,5;4;3;2;1;7;6,mean,0,-1,800,600,0,0,0,60,2.552,0.951
ours,sensordata,static,5;4;3;2;1;7;6,mean,0,-1,1000,600,0,0,0,43,3.111,1.114
ours,sensordata,static,5;4;3;2;1;7;6,mean,0,-1,1200,600,0,0,0,46,3.546,1.207
ours,sensordata,static,5;4;3;2;1;7;6,variance,0,-1,200,600,0,0,0,35,0.591,0.205
ours,sensordata,static,5;4;3;2;1;7;6,variance,0,-1,400,600,0,0,0,34,0.863,0.292
ours,sensordata,static,5;4;3;2;1;7;6,variance,0,-1,600,600,0,0,0,29,1.240,0.370
ours,sensordata,static,5;4;3;2;1;7;6,variance,0,-1,800,600,0,0,0,31,1.512,0.458
ours,sensordata,static,5;4;3;2;1;7;6,variance,0,-1,1000,600,0,0,0,31,1.952,0.603
ours,sensordata,static,5;4;3;2;1;7;6,variance,0,-1,1200,600,0,0,0,29,2.122,0.627
ours,sensordata,static,5;4;3;2;1;7;6,max,0,-1,200,600,0,0,0,4,0.386,0.094
ours,sensordata,static,5;4;3;2;1;7;6,max,0,-1,400,600,0,0,0,1,0.470,0.117
ours,sensordata,static,5;4;3;2;1;7;6,max,0,-1,600,600,0,0,0,5,0.614,0.160
ours,sensordata,static,5;4;3;2;1;7;6,max,0,-1,800,600,0,0,0,1,0.689,0.176
ours,sensordata,static,5;4;3;2;1;7;6,max,0,-1,1000,600,0,0,0,4,0.880,0.216
ours,sensordata,static,5;4;3;2;1;7;6,max,0,-1,1200,600,0,0,0,1,0.952,0.239
ours,sensordata,static,5;4;3;2;1;7;6,L2,0,-1,200,600,0,0,0,13,0.381,0.097
ours,sensordata,static,5;4;3;2;1;7;6,L2,0,-1,400,600,0,0,0,15,0.500,0.132
ours,sensordata,static,5;4;3;2;1;7;6,L2,0,-1,600,600,0,0,0,14,0.670,0.179
ours,sensordata,static,5;4;3;2;1;7;6,L2,0,-1,800,600,0,0,0,14,0.757,0.203
ours,sensordata,static,5;4;3;2;1;7;6,L2,0,-1,1000,600,0,0,0,14,0.978,0.246
ours,sensordata,static,5;4;3;2;1;7;6,L2,0,-1,1200,600,0,0,0,13,1.015,0.278
ours,sensordata,static,5;4;3;2;1;7;6,weightsum,0,-1,200,600,0,0,0,27,0.609,0.200
ours,sensordata,static,5;4;3;2;1;7;6,weightsum,0,-1,400,600,0,0,0,27,0.950,0.320
ours,sensordata,static,5;4;3;2;1;7;6,weightsum,0,-1,600,600,0,0,0,25,1.311,0.427
ours,sensordata,static,5;4;3;2;1;7;6,weightsum,0,-1,800,600,0,0,0,25,1.595,0.535
ours,sensordata,static,5;4;3;2;1;7;6,weightsum,0,-1,1000,600,0,0,0,33,2.150,0.704
ours,sensordata,static,5;4;3;2;1;7;6,weightsum,0,-1,1200,600,0,0,0,29,2.442,0.757
ours,sensordata,static,5;4;3;2;1;7;6,func4,0,-1,200,600,0,0,0,1343,132.654,72.364
ours,sensordata,static,5;4;3;2;1;7;6,func4,0,-1,400,600,0,0,0,2139,177.311,93.150
ours,sensordata,static,5;4;3;2;1;7;6,func4,0,-1,600,600,0,0,0,2490,187.613,92.183
ours,sensordata,static,5;4;3;2;1;7;6,func4,0,-1,800,600,0,0,0,3221,303.438,135.716
ours,sensordata,static,5;4;3;2;1;7;6,func4,0,-1,1000,600,0,0,0,3420,268.909,118.275
ours,sensordata,static,5;4;3;2;1;7;6,func4,0,-1,1200,600,0,0,0,3363,255.001,104.360
PG-F,synthetic1m,static,1;2;3;4;5,func1,0,-1,200,600,0,0,0,0,2.903,2.632
PG-F,synthetic1m,static,1;2;3;4;5,func1,0,-1,400,600,0,0,0,0,2.482,2.417
PG-F,synthetic1m,static,1;2;3;4;5,func1,0,-1,600,600,0,0,0,0,1.381,1.336
PG-F,synthetic1m,static,1;2;3;4;5,func1,0,-1,800,600,0,0,0,0,1.380,1.335
PG-F,synthetic1m,static,1;2;3;4;5,func1,0,-1,1000,600,0,0,0,0,1.393,1.347
PG-F,synthetic1m,static,1;2;3;4;5,func1,0,-1,1200,600,0,0,0,0,1.395,1.350
PG-F,synthetic1m,static,1;2;3;4;5,boxcox0,0,-1,200,600,0,0,0,0,3.450,3.405
PG-F,synthetic1m,static,1;2;3;4;5,boxcox0,0,-1,400,600,0,0,0,0,3.415,3.371
PG-F,synthetic1m,static,1;2;3;4;5,boxcox0,0,-1,600,600,0,0,0,0,3.425,3.381
PG-F,synthetic1m,static,1;2;3;4;5,boxcox0,0,-1,800,600,0,0,0,0,3.418,3.374
PG-F,synthetic1m,static,1;2;3;4;5,boxcox0,0,-1,1000,600,0,0,0,0,3.423,3.378
PG-F,synthetic1m,static,1;2;3;4;5,boxcox0,0,-1,1200,600,0,0,0,0,3.421,3.377
PG-F,synthetic1m,static,1;2;3;4;5,plus,0,-1,200,600,0,0,0,0,1.028,0.984
PG-F,synthetic1m,static,1;2;3;4;5,plus,0,-1,400,600,0,0,0,0,1.039,0.995
PG-F,synthetic1m,static,1;2;3;4;5,plus,0,-1,600,600,0,0,0,0,1.043,0.999
PG-F,synthetic1m,static,1;2;3;4;5,plus,0,-1,800,600,0,0,0,0,1.041,0.998
PG-F,synthetic1m,static,1;2;3;4;5,plus,0,-1,1000,600,0,0,0,0,2.256,2.210
PG-F,synthetic1m,static,1;2;3;4;5,plus,0,-1,1200,600,0,0,0,0,1.113,1.058
PG-F,synthetic1m,static,1;2;3;4;5,minus,0,-1,200,600,0,0,0,0,1.073,1.027
PG-F,synthetic1m,static,1;2;3;4;5,minus,0,-1,400,600,0,0,0,0,1.075,1.030
PG-F,synthetic1m,static,1;2;3;4;5,minus,0,-1,600,600,0,0,0,0,1.056,1.009
PG-F,synthetic1m,static,1;2;3;4;5,minus,0,-1,800,600,0,0,0,0,1.059,1.013
PG-F,synthetic1m,static,1;2;3;4;5,minus,0,-1,1000,600,0,0,0,0,1.078,1.034
PG-F,synthetic1m,static,1;2;3;4;5,minus,0,-1,1200,600,0,0,0,0,1.065,1.021
PG-F,synthetic1m,static,1;2;3;4;5,multi,0,-1,200,600,0,0,0,0,1.069,1.025
PG-F,synthetic1m,static,1;2;3;4;5,multi,0,-1,400,600,0,0,0,0,1.074,1.030
PG-F,synthetic1m,static,1;2;3;4;5,multi,0,-1,600,600,0,0,0,0,1.071,1.027
PG-F,synthetic1m,static,1;2;3;4;5,multi,0,-1,800,600,0,0,0,0,1.067,1.023
PG-F,synthetic1m,static,1;2;3;4;5,multi,0,-1,1000,600,0,0,0,0,1.056,1.012
PG-F,synthetic1m,static,1;2;3;4;5,multi,0,-1,1200,600,0,0,0,0,1.063,1.019
PG-F,synthetic1m,static,1;2;3;4;5,devide,0,-1,200,600,0,0,0,0,1.150,1.105
PG-F,synthetic1m,static,1;2;3;4;5,devide,0,-1,400,600,0,0,0,0,1.158,1.113
PG-F,synthetic1m,static,1;2;3;4;5,devide,0,-1,600,600,0,0,0,0,1.154,1.110
PG-F,synthetic1m,static,1;2;3;4;5,devide,0,-1,800,600,0,0,0,0,1.163,1.118
PG-F,synthetic1m,static,1;2;3;4;5,devide,0,-1,1000,600,0,0,0,0,1.156,1.113
PG-F,synthetic1m,static,1;2;3;4;5,devide,0,-1,1200,600,0,0,0,0,1.167,1.124
PG-F,synthetic1m,static,1;2;3;4;5,mean,0,-1,200,600,0,0,0,0,1.501,1.457
PG-F,synthetic1m,static,1;2;3;4;5,mean,0,-1,400,600,0,0,0,0,1.502,1.460
PG-F,synthetic1m,static,1;2;3;4;5,mean,0,-1,600,600,0,0,0,0,1.502,1.459
PG-F,synthetic1m,static,1;2;3;4;5,mean,0,-1,800,600,0,0,0,0,1.514,1.469
PG-F,synthetic1m,static,1;2;3;4;5,mean,0,-1,1000,600,0,0,0,0,1.505,1.461
PG-F,synthetic1m,static,1;2;3;4;5,mean,0,-1,1200,600,0,0,0,0,1.512,1.468
PG-F,synthetic1m,static,1;2;3;4;5,variance,0,-1,200,600,0,0,0,0,5.131,5.088
PG-F,synthetic1m,static,1;2;3;4;5,variance,0,-1,400,600,0,0,0,0,5.008,4.962
PG-F,synthetic1m,static,1;2;3;4;5,variance,0,-1,600,600,0,0,0,0,5.045,5.002
PG-F,synthetic1m,static,1;2;3;4;5,variance,0,-1,800,600,0,0,0,0,5.069,5.025
PG-F,synthetic1m,static,1;2;3;4;5,variance,0,-1,1000,600,0,0,0,0,5.034,4.988
PG-F,synthetic1m,static,1;2;3;4;5,variance,0,-1,1200,600,0,0,0,0,5.021,4.976
PG-F,synthetic1m,static,1;2;3;4;5,max,0,-1,200,600,0,0,0,0,1.105,1.062
PG-F,synthetic1m,static,1;2;3;4;5,max,0,-1,400,600,0,0,0,0,1.098,1.055
PG-F,synthetic1m,static,1;2;3;4;5,max,0,-1,600,600,0,0,0,0,1.139,1.095
PG-F,synthetic1m,static,1;2;3;4;5,max,0,-1,800,600,0,0,0,0,1.122,1.079
PG-F,synthetic1m,static,1;2;3;4;5,max,0,-1,1000,600,0,0,0,0,1.108,1.065
PG-F,synthetic1m,static,1;2;3;4;5,max,0,-1,1200,600,0,0,0,0,1.109,1.066
PG-F,synthetic1m,static,1;2;3;4;5,L2,0,-1,200,600,0,0,0,0,1.642,1.599
PG-F,synthetic1m,static,1;2;3;4;5,L2,0,-1,400,600,0,0,0,0,1.643,1.600
PG-F,synthetic1m,static,1;2;3;4;5,L2,0,-1,600,600,0,0,0,0,1.645,1.602
PG-F,synthetic1m,static,1;2;3;4;5,L2,0,-1,800,600,0,0,0,0,1.652,1.608
PG-F,synthetic1m,static,1;2;3;4;5,L2,0,-1,1000,600,0,0,0,0,1.661,1.618
PG-F,synthetic1m,static,1;2;3;4;5,L2,0,-1,1200,600,0,0,0,0,1.652,1.609
PG-F,synthetic1m,static,1;2;3;4;5,weightsum,0,-1,200,600,0,0,0,0,1.469,1.426
PG-F,synthetic1m,static,1;2;3;4;5,weightsum,0,-1,400,600,0,0,0,0,1.473,1.430
PG-F,synthetic1m,static,1;2;3;4;5,weightsum,0,-1,600,600,0,0,0,0,1.489,1.447
PG-F,synthetic1m,static,1;2;3;4;5,weightsum,0,-1,800,600,0,0,0,0,1.485,1.444
PG-F,synthetic1m,static,1;2;3;4;5,weightsum,0,-1,1000,600,0,0,0,0,1.492,1.449
PG-F,synthetic1m,static,1;2;3;4;5,weightsum,0,-1,1200,600,0,0,0,0,1.486,1.443
PG-F,synthetic1m,static,1;2;3;4;5,func4,0,-1,200,600,0,0,0,0,3.791,3.749
PG-F,synthetic1m,static,1;2;3;4;5,func4,0,-1,400,600,0,0,0,0,3.819,3.777
PG-F,synthetic1m,static,1;2;3;4;5,func4,0,-1,600,600,0,0,0,0,3.774,3.731
PG-F,synthetic1m,static,1;2;3;4;5,func4,0,-1,800,600,0,0,0,0,3.773,3.731
PG-F,synthetic1m,static,1;2;3;4;5,func4,0,-1,1000,600,0,0,0,0,3.789,3.745
PG-F,synthetic1m,static,1;2;3;4;5,func4,0,-1,1200,600,0,0,0,0,3.776,3.734
PG-F,synthetic2m,static,1;2;3;4;5,func1,0,-1,200,600,0,0,0,0,3.286,2.750
PG-F,synthetic2m,static,1;2;3;4;5,func1,0,-1,400,600,0,0,0,0,2.816,2.748
PG-F,synthetic2m,static,1;2;3;4;5,func1,0,-1,600,600,0,0,0,0,2.821,2.754
PG-F,synthetic2m,static,1;2;3;4;5,func1,0,-1,800,600,0,0,0,0,2.821,2.754
PG-F,synthetic2m,static,1;2;3;4;5,func1,0,-1,1000,600,0,0,0,0,2.828,2.762
PG-F,synthetic2m,static,1;2;3;4;5,func1,0,-1,1200,600,0,0,0,0,2.810,2.743
PG-F,synthetic2m,static,1;2;3;4;5,boxcox0,0,-1,200,600,0,0,0,0,6.850,6.782
PG-F,synthetic2m,static,1;2;3;4;5,boxcox0,0,-1,400,600,0,0,0,0,6.928,6.861
PG-F,synthetic2m,static,1;2;3;4;5,boxcox0,0,-1,600,600,0,0,0,0,6.865,6.798
PG-F,synthetic2m,static,1;2;3;4;5,boxcox0,0,-1,800,600,0,0,0,0,6.830,6.763
PG-F,synthetic2m,static,1;2;3;4;5,boxcox0,0,-1,1000,600,0,0,0,0,6.828,6.761
PG-F,synthetic2m,static,1;2;3;4;5,boxcox0,0,-1,1200,600,0,0,0,0,6.864,6.798
PG-F,synthetic2m,static,1;2;3;4;5,plus,0,-1,200,600,0,0,0,0,2.063,1.996
PG-F,synthetic2m,static,1;2;3;4;5,plus,0,-1,400,600,0,0,0,0,2.071,2.005
PG-F,synthetic2m,static,1;2;3;4;5,plus,0,-1,600,600,0,0,0,0,2.098,2.030
PG-F,synthetic2m,static,1;2;3;4;5,plus,0,-1,800,600,0,0,0,0,2.066,1.997
