method,data,type,colums,func,start,end,width,height,errorbound,error,ssim,iterations,totaltime,sqltime
ours,soccerdata,static,5;3;1;2;4;6,max,0,-1,600,600,0.1,0,0,1,0.408,0.153
ours,soccerdata,static,5;3;1;2;4;6,max,0,-1,800,600,0.1,0,0,1,0.497,0.188
ours,soccerdata,static,5;3;1;2;4;6,max,0,-1,1000,600,0.1,0,0,1,0.549,0.195
ours,soccerdata,static,5;3;1;2;4;6,max,0,-1,1200,600,0.1,0,0,1,0.629,0.209
ours,soccerdata,static,5;3;1;2;4;6,L2,0,-1,200,600,0.1,0,0,7,0.287,0.144
ours,soccerdata,static,5;3;1;2;4;6,L2,0,-1,400,600,0.1,0,0,8,0.514,0.224
ours,soccerdata,static,5;3;1;2;4;6,L2,0,-1,600,600,0.1,0,0,12,0.740,0.229
ours,soccerdata,static,5;3;1;2;4;6,L2,0,-1,800,600,0.1,0,0,9,0.982,0.297
ours,soccerdata,static,5;3;1;2;4;6,L2,0,-1,1000,600,0.1,0,0,10,1.328,0.445
ours,soccerdata,static,5;3;1;2;4;6,L2,0,-1,1200,600,0.1,0,0,11,1.311,0.486
ours,soccerdata,static,5;3;1;2;4;6,weightsum,0,-1,200,600,0.1,0,0,7,0.289,0.158
ours,soccerdata,static,5;3;1;2;4;6,weightsum,0,-1,400,600,0.1,0,0,6,0.524,0.247
ours,soccerdata,static,5;3;1;2;4;6,weightsum,0,-1,600,600,0.1,0,0,10,0.832,0.328
ours,soccerdata,static,5;3;1;2;4;6,weightsum,0,-1,800,600,0.1,0,0,8,1.038,0.411
ours,soccerdata,static,5;3;1;2;4;6,weightsum,0,-1,1000,600,0.1,0,0,8,1.204,0.462
ours,soccerdata,static,5;3;1;2;4;6,weightsum,0,-1,1200,600,0.1,0,0,10,1.406,0.536
ours,stockdata,static,9;5;1;2;3;4;6;7;8;10,func1,0,-1,200,600,0.1,0,0,0,0.441,0.426
ours,stockdata,static,9;5;1;2;3;4;6;7;8;10,func1,0,-1,400,600,0.1,0,0,0,0.391,0.349
ours,stockdata,static,9;5;1;2;3;4;6;7;8;10,func1,0,-1,600,600,0.1,0,0,0,0.508,0.457
ours,stockdata,static,9;5;1;2;3;4;6;7;8;10,func1,0,-1,800,600,0.1,0,0,0,0.466,0.386
ours,stockdata,static,9;5;1;2;3;4;6;7;8;10,func1,0,-1,1000,600,0.1,0,0,0,0.671,0.589
ours,stockdata,static,9;5;1;2;3;4;6;7;8;10,func1,0,-1,1200,600,0.1,0,0,0,0.392,0.301
ours,stockdata,static,9;5;1;2;3;4;6;7;8;10,boxcox0,0,-1,200,600,0.1,0,0,0,0.036,0.020
ours,stockdata,static,9;5;1;2;3;4;6;7;8;10,boxcox0,0,-1,400,600,0.1,0,0,0,0.063,0.040
ours,stockdata,static,9;5;1;2;3;4;6;7;8;10,boxcox0,0,-1,600,600,0.1,0,0,0,0.078,0.046
ours,stockdata,static,9;5;1;2;3;4;6;7;8;10,boxcox0,0,-1,800,600,0.1,0,0,0,0.109,0.051
ours,stockdata,static,9;5;1;2;3;4;6;7;8;10,boxcox0,0,-1,1000,600,0.1,0,0,0,0.123,0.065
ours,stockdata,static,9;5;1;2;3;4;6;7;8;10,boxcox0,0,-1,1200,600,0.1,0,0,0,0.132,0.080
ours,stockdata,static,9;5;1;2;3;4;6;7;8;10,plus,0,-1,200,600,0.1,0,0,7,0.237,0.182
ours,stockdata,static,9;5;1;2;3;4;6;7;8;10,plus,0,-1,400,600,0.1,0,0,9,0.402,0.246
ours,stockdata,static,9;5;1;2;3;4;6;7;8;10,plus,0,-1,600,600,0.1,0,0,5,0.346,0.197
ours,stockdata,static,9;5;1;2;3;4;6;7;8;10,plus,0,-1,800,600,0.1,0,0,4,0.346,0.155
ours,stockdata,static,9;5;1;2;3;4;6;7;8;10,plus,0,-1,1000,600,0.1,0,0,7,0.711,0.462
ours,stockdata,static,9;5;1;2;3;4;6;7;8;10,plus,0,-1,1200,600,0.1,0,0,5,0.500,0.253
ours,stockdata,static,9;5;1;2;3;4;6;7;8;10,minus,0,-1,200,600,0.1,0,0,7,0.128,0.079
ours,stockdata,static,9;5;1;2;3;4;6;7;8;10,minus,0,-1,400,600,0.1,0,0,9,0.195,0.107
ours,stockdata,static,9;5;1;2;3;4;6;7;8;10,minus,0,-1,600,600,0.1,0,0,4,0.226,0.117
ours,stockdata,static,9;5;1;2;3;4;6;7;8;10,minus,0,-1,800,600,0.1,0,0,4,0.232,0.117
ours,stockdata,static,9;5;1;2;3;4;6;7;8;10,minus,0,-1,1000,600,0.1,0,0,7,0.386,0.197
